# GENERATED by docs/evidence/lethe006/lethe_train.py - parity fixture for
# kernel-core/src/lethe.rs (REQ-ML-006, ADR-077). Do not edit by hand.
lethe-baseline;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-lethe;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-eager;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-baseline;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-lethe;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-eager;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-baseline;95000;2;95:45000:0:0;95,95,95,95,0,0,0,1,45000,0,50000,0;1;0;0;0
lethe-lethe;95000;2;95:45000:0:0;95,95,95,95,0,0,0,1,45000,0,50000,0;1;0;0;0
lethe-eager;95000;2;95:45000:0:0;95,95,95,95,0,0,0,1,45000,0,50000,0;1;0;0;0
lethe-baseline;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-lethe;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-eager;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-baseline;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-lethe;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-eager;95000;2;0:45000:0:0;0,0,0,0,0,0,0,1,45000,0,50000,0;1;2;0;0
lethe-hot-synth;95000;2;0:149000:0:0,0:149000:0:1,0:149000:0:2;0,0,0,0,0,0,2,1,149000,0,-54000,0;1;1;1;0
